OTUID	X1	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X2	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X3	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X4	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X5	X50	X51	X52	X53	X54	X55	X56	X57	X58	X59	X6	X60	X61	X62	X63	X64	X65	X66	X7	X8	X9
ASV_98	11	11	7	0	173	1640	2356	22	1839	101	3	28	3	7	13	13	6	13	11	9	8	15	8	28	0	0	0	0	0	0	21	0	0	8	0	0	0	10	0	9	0	0	0	0	4	0	1	0	2	0	0	0	0	0	0	12	1	0	2	0	0	0	0	13	15	12
ASV_102	98	121	461	575	430	239	1061	218	1013	1142	5	122	6	5	6	7	6	3	7	7	7	3	12	2	0	131	0	1	26	0	1	1	2	71	1	20	96	1	10	0	9	0	0	1	103	1	3	0	0	2	1	0	5	1	0	46	1	1	0	0	1	1	0	77	51	41
ASV_91	132	51	29	62	27	15	20	4	17	4	678	169	632	525	528	548	526	168	162	160	164	158	558	198	0	1	0	0	0	0	0	1	0	80	0	59	1	1	12	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	182	0	0	0	0	1	0	1	41	36	28
ASV_77	107	455	484	554	341	419	425	31	485	192	7	152	3	9	5	1	7	11	12	8	9	4	64	10	88	22	0	42	172	1	11	26	51	111	3	204	5	2	8	41	16	0	38	2	126	2	5	2	9	1	1	4	1	2	2	152	2	0	27	22	12	7	2	218	494	363
ASV_69	3	2	1	1	10	123	19	1	9	22	0	1	0	0	0	1	1	1	3	0	1	0	1	0	2	3	4	2	3	1	40	238	158	0	1108	470	3517	1	3	19	18	2	80	0	3	4	0	1	3	0	1	3	1	2	0	5	3	2	0	1	3	7	1	78	9	2
ASV_95	606	193	653	120	1024	21	19	17	28	252	5	1437	4	2	4	8	5	32	49	36	33	35	19	41	0	0	0	1	2	0	39	76	73	347	3	0	1	0	0	5	25	1	1	1	21	1	1	0	0	0	1	0	0	0	0	20	2	0	3	1	0	0	0	243	160	325
ASV_88	13	16	20	17	26	14	28	14	17	7	968	56	777	1052	720	1049	904	9	9	9	17	7	19	13	0	0	0	0	0	0	0	4	0	41	0	9	0	0	1	0	0	0	32	0	45	0	0	0	0	0	1	0	0	1	1	20	0	0	0	0	0	0	0	13	12	17
ASV_92	67	6	11	15	9	11	8	5	2	3	854	54	768	905	773	762	660	17	25	30	28	18	458	24	0	20	0	0	0	0	30	0	0	24	0	1	0	0	0	32	0	0	0	0	47	0	1	0	0	0	1	0	0	1	2	49	1	0	0	0	0	0	0	15	12	4
ASV_103	142	81	95	80	261	404	786	44	87	26	6	604	9	15	19	32	27	159	152	137	126	146	197	117	0	1	0	0	50	24	1	0	2	442	0	11	0	23	29	0	5	0	4	0	1061	2	0	1	0	0	0	0	1	0	0	64	0	0	1	0	0	6	0	64	76	108
ASV_104	1431	203	62	110	5	6	6	0	4	5	0	284	0	4	0	2	1	383	288	303	277	363	305	266	0	57	0	0	1	0	0	0	0	40	0	0	1	59	7	18	0	1	0	0	127	0	0	1	0	0	0	0	0	0	0	379	0	0	0	0	0	1	0	148	345	232
ASV_84	2	0	1	0	3	0	0	0	0	1	0	2	1	0	2	0	0	0	0	0	0	0	1	2	80	244	280	272	6	36	165	62	449	0	214	21	123	1825	1059	441	71	4	165	3	0	1	3	10	5	7	3	10	7	19	5	0	8	41	2	12	6	8	6	2	1	0
ASV_80	22	11	24	119	10	43	40	0	8	6	3	50	2	4	8	4	3	5	3	2	6	3	112	7	285	249	413	416	247	167	10	470	11	9	7	31	5	48	88	413	1031	2	414	0	31	2	3	1	10	1	7	9	8	15	1	291	1	1	4	5	1	37	2	271	30	54
ASV_72	8	4	0	1	1	4	1	2	5	3	7	2	7	7	3	7	5	8	9	0	4	6	0	4	24	720	12	179	58	52	873	1276	581	1	168	180	222	359	107	106	36	319	21	4	3	3	2	4	2	0	2	1	7	1	1	2	3	3	12	3	5	5	1	1	11	10
ASV_1765	99	18	13	18	9	9	14	8	5	9	647	69	725	637	690	796	786	71	69	56	78	79	163	82	0	18	0	0	0	0	0	0	1	34	14	23	0	12	1	0	0	0	0	0	85	1	0	0	0	0	0	0	0	1	0	54	0	0	1	0	0	0	0	21	15	21
ASV_75	0	0	0	0	0	0	0	1	0	1	11	4	6	10	0	0	8	1	0	1	1	1	0	0	23	99	66	410	125	2	108	2507	2	2	597	306	59	64	84	16	36	1	25	20	0	32	56	77	24	58	18	55	31	29	22	0	24	178	37	28	12	110	20	0	0	0
ASV_107	24	3	8	15	14	14	10	8	686	23	2	16	2	1	0	0	3	6	1	5	0	1	9	0	3	9	3996	10	1	1	10	14	6	20	7	9	6	18	33	0	8	2	1	3	10	9	3	1	1	2	0	1	3	4	1	116	1	3	6	5	1	8	2	5	169	17
ASV_79	2	9	35	10	4	9	20	1126	61	5	2	26	2	2	9	5	4	1	5	5	1	5	11	2	1	58	6	6	4	7	8	109	58	28	149	588	8	37	4	25	8	5	0	10	26	1	65	10	12	1	136	72	1525	88	212	1	154	12	96	4	145	256	11	4	9	34
ASV_106	80	69	32	47	10	39	31	4	14	13	473	21	382	367	410	444	340	262	239	189	175	229	45	184	3	17	11	1	1	6	44	109	170	25	0	1	166	57	3	25	42	84	168	2	28	6	1	0	2	2	5	2	2	2	3	86	2	1	0	4	3	1	3	67	44	43
ASV_109	15	837	248	321	8	5	6	7	4	0	6	19	8	6	11	11	9	288	251	302	277	257	16	253	0	18	25	0	0	17	11	0	50	6	0	1	0	30	5	23	5	7	0	0	12	0	0	0	0	0	0	0	0	0	0	11	1	0	1	0	0	1	0	386	1106	450
ASV_105	32	68	18	112	330	174	732	12	51	72	7	72	4	6	8	20	8	19	17	12	13	11	147	12	55	82	3	12	31	128	87	218	5	97	188	1198	62	36	78	43	12	2	3	3	271	2	0	11	0	1	7	13	1	0	18	283	20	74	18	29	2	2	0	105	56	97
ASV_82	1	2	1	2	53	61	22	1	9	80	12	4	0	1	1	2	0	0	1	0	0	2	9	2	3	789	4	952	142	4	23	895	13	4	187	233	1621	8	11	6	8	4	3	1	7	2	1	0	2	3	0	1	1	0	0	5	2	22	29	34	10	0	0	3	0	1
ASV_81	7	171	21	51	1	1	2	1	0	2	3	7	1	5	6	4	7	835	758	239	716	595	5	690	13	17	0	0	0	1	50	15	53	1	18	31	120	19	12	10	3	33	0	0	7	2	0	0	5	1	0	0	0	0	0	2	0	0	0	0	0	0	1	54	599	98
ASV_827	26	14	14	30	747	107	1961	27	46	14	66	43	99	91	85	102	95	70	56	56	42	52	17	69	5	3	0	0	2	1	248	47	1	22	3	699	154	11	2	3	0	1	1	3	43	0	4	0	0	0	2	0	1	2	2	20	0	0	0	1	2	0	1	22	29	26
ASV_97	27	133	55	155	39	65	842	6	14	10	79	38	42	42	68	61	53	431	454	485	497	437	123	526	1	42	0	0	2	0	28	0	1	13	29	47	1	12	25	14	7	20	16	0	12	1	0	0	0	0	1	1	0	0	0	25	1	1	0	0	0	9	1	85	112	98
ASV_108	12	26	28	32	16	276	737	16	43	3727	8	28	7	7	14	8	13	11	15	17	9	11	20	12	0	0	0	0	0	0	0	0	0	18	0	1	0	10	0	0	0	0	0	0	24	1	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	24	14	17
ASV_83	14	8	18	14	12	16	21	8	5	7	762	22	790	752	888	700	849	21	31	23	19	30	38	28	0	0	0	0	0	0	0	0	0	21	0	0	0	0	8	0	7	0	0	0	25	0	0	0	0	0	0	0	0	0	0	20	2	0	0	0	0	0	0	12	7	19
ASV_93	2	5	2	4	151	22	56	4	16	13	1	5	1	1	0	1	2	6	6	9	7	4	3	3	3	8	6	133	4	17	183	441	548	6	188	148	195	9	28	2	6	2	5	9	14	3	1	12	2	11	43	55	65	41	20	12	55	1060	300	481	186	468	61	2	0	7
